Date,Price,Open,High,Low,Vol.,Change 
05/01/2002,1067.14,1076.92,1106.59,1048.96,,-0.91
04/01/2002,1076.92,1147.39,1147.84,1063.46,,-6.14
03/01/2002,1147.39,1106.73,1173.94,1106.73,,3.67
02/01/2002,1106.73,1130.20,1130.20,1074.36,,-2.08
01/01/2002,1130.20,1148.08,1176.97,1081.66,,-1.56
12/01/2001,1148.08,1139.45,1173.62,1114.53,,0.76
11/01/2001,1139.45,1059.78,1163.38,1054.31,,7.52
10/01/2001,1059.78,1040.94,1110.61,1026.76,,1.81
09/01/2001,1040.94,1133.58,1155.40,944.75,,-8.17
08/01/2001,1133.58,1211.23,1226.27,1124.87,,-6.41
07/01/2001,1211.23,1224.42,1239.78,1165.54,,-1.07
06/01/2001,1224.38,1255.82,1286.62,1203.03,,-2.50
05/01/2001,1255.82,1249.46,1315.93,1232.00,,0.51
04/01/2001,1249.46,1160.33,1269.30,1091.99,,7.68
03/01/2001,1160.33,1239.94,1267.42,1081.19,,-6.42
02/01/2001,1239.94,1366.01,1376.38,1215.44,,-9.23
01/01/2001,1366.01,1320.28,1383.37,1274.62,,3.46
12/01/2000,1320.28,1314.95,1389.05,1254.07,,0.41
11/01/2000,1314.95,1429.40,1438.46,1294.90,,-8.01
10/01/2000,1429.40,1436.52,1454.82,1305.79,,-0.49
09/01/2000,1436.51,1517.68,1530.09,1419.44,,-5.35
08/01/2000,1517.68,1430.83,1525.21,1425.43,,6.07
07/01/2000,1430.83,1454.60,1517.32,1413.89,,-1.63
06/01/2000,1454.60,1420.60,1488.93,1420.60,,2.39
05/01/2000,1420.60,1452.43,1481.51,1361.09,,-2.19
04/01/2000,1452.43,1498.58,1527.19,1339.40,,-3.08
03/01/2000,1498.58,1366.42,1552.87,1346.62,,9.67
02/01/2000,1366.42,1394.46,1444.55,1325.07,,-2.01
01/01/2000,1394.46,1469.25,1478.00,1350.14,,-5.09
