Date,Price,Open,High,Low,Vol.,Change 
12/01/2005,58.98,55.00,60.40,54.63,1.07,7.14
11/01/2005,55.05,58.07,60.65,53.75,1.17,-5.25
10/01/2005,58.10,63.63,63.96,57.05,1.18,-8.48
09/01/2005,63.48,66.70,67.88,61.00,1.26,-5.28
08/01/2005,67.02,59.85,68.89,59.37,1.36,12.89
07/01/2005,59.37,55.70,60.70,55.25,1.17,6.82
06/01/2005,55.58,50.85,59.59,50.85,1.16,9.56
05/01/2005,50.73,51.78,52.43,47.47,1.01,-0.70
04/01/2005,51.09,54.52,57.65,50.35,760.12,-5.89
03/01/2005,54.29,50.08,56.15,49.05,756.77,8.45
02/01/2005,50.06,45.48,50.34,42.46,780.98,9.02
01/01/2005,45.92,39.40,47.35,38.81,716.92,13.49
12/01/2004,40.46,45.35,45.43,37.00,663.26,-11.10
11/01/2004,45.51,49.20,49.60,40.05,844.44,-7.08
10/01/2004,48.98,46.20,51.94,45.80,867.97,5.61
09/01/2004,46.38,39.90,46.80,39.70,892.32,17.09
08/01/2004,39.61,39.70,45.15,39.20,878.82,-1.05
07/01/2004,40.03,34.25,40.05,34.18,860.67,16.03
06/01/2004,34.50,37.15,39.12,33.08,1.02,-5.69
05/01/2004,36.58,35.22,38.90,34.95,887.18,6.09
04/01/2004,34.48,32.23,35.00,29.95,884.49,9.43
03/01/2004,31.51,32.33,33.82,31.15,932.63,-2.23
02/01/2004,32.23,29.00,32.35,28.44,820.49,10.45
01/01/2004,29.18,29.57,32.12,28.81,890.47,-3.28
12/01/2003,30.17,28.43,31.15,27.76,761.14,6.05
11/01/2003,28.45,27.98,30.52,26.97,856.73,2.71
10/01/2003,27.70,27.58,31.50,26.75,901.09,0.33
09/01/2003,27.61,29.45,29.55,25.05,889.88,-6.38
08/01/2003,29.49,28.45,30.59,28.02,752.34,3.95
07/01/2003,28.37,28.20,29.60,27.21,847.02,0.14
06/01/2003,28.33,26.70,28.52,25.80,806.24,7.64
05/01/2003,26.32,24.00,27.01,23.34,824.02,11.15
04/01/2003,23.68,27.56,27.56,23.05,780.43,-12.88
03/01/2003,27.18,32.45,34.55,24.00,821.99,-17.11
02/01/2003,32.79,30.89,33.94,30.10,765.23,5.43
01/01/2003,31.10,29.30,31.80,27.85,837.76,8.51
12/01/2002,28.66,25.35,31.02,25.12,675.64,13.91
11/01/2002,25.16,25.77,26.05,22.56,874.18,-2.18
10/01/2002,25.72,28.85,29.39,25.05,810.23,-10.54
09/01/2002,28.75,27.40,29.88,26.45,678.86,4.66
08/01/2002,27.47,25.35,27.92,24.65,698.02,7.98
07/01/2002,25.44,25.50,26.66,24.65,751.45,-0.55
06/01/2002,25.58,24.10,25.85,23.22,643.78,4.62
05/01/2002,24.45,26.00,27.35,23.93,824.16,-7.63
04/01/2002,26.47,26.36,28.15,23.81,817.43,2.12
03/01/2002,25.92,21.35,25.95,21.20,695.11,21.52
02/01/2002,21.33,19.36,21.71,18.80,714.26,11.21
01/01/2002,19.18,19.46,22.40,18.23,705.66,-3.62
12/01/2001,19.90,18.92,20.90,17.70,533.51,3.97
11/01/2001,19.14,20.35,21.65,16.65,769.36,-6.04
10/01/2001,20.37,23.20,23.25,20.05,694.94,-12.42
09/01/2001,23.26,26.50,31.05,20.70,879.08,-11.93
08/01/2001,26.41,25.09,26.79,24.50,610.23,6.97
07/01/2001,24.69,26.30,26.90,23.97,647.02,-5.33
06/01/2001,26.08,29.27,30.00,24.91,659.46,-11.11
05/01/2001,29.34,27.62,29.68,27.01,585.37,5.20
04/01/2001,27.89,24.85,28.48,24.10,602.75,12.73
03/01/2001,24.74,25.70,27.25,23.75,620.29,-3.25
02/01/2001,25.57,26.55,30.36,25.50,527.58,-4.09
01/01/2001,26.66,24.40,27.48,24.12,668.16,11.69
12/01/2000,23.87,31.88,32.32,22.90,505.16,-25.13
11/01/2000,31.88,31.10,34.00,30.32,545.14,3.64
10/01/2000,30.76,30.20,35.30,29.42,564.92,3.08
09/01/2000,29.84,31.65,34.98,29.25,711.95,-5.93
08/01/2000,31.72,26.80,32.80,26.73,567.68,17.79
07/01/2000,26.93,30.65,31.25,26.65,658.69,-11.91
06/01/2000,30.57,28.40,31.70,27.58,660.73,7.98
05/01/2000,28.31,24.10,29.52,24.05,605.29,18.50
04/01/2000,23.89,25.00,25.22,21.30,520.32,-3.55
03/01/2000,24.77,28.00,31.95,24.25,672.62,-11.82
02/01/2000,28.09,26.10,28.78,25.73,616.54,8.16
01/01/2000,25.97,23.90,27.11,23.04,644.18,3.55
