Date,Price,Open,High,Low,Vol.,Change 
03/01/2016,1.0935,1.0855,1.1033,1.0813,,0.79
02/01/2016,1.0849,1.1085,1.1207,1.0808,,-2.08
01/01/2016,1.1080,1.0883,1.1170,1.0823,,1.84
12/01/2015,1.0880,1.0870,1.0949,1.0734,,0.14
11/01/2015,1.0865,1.0875,1.0933,1.0730,,-0.02
10/01/2015,1.0867,1.0877,1.0989,1.0747,,-0.04
09/01/2015,1.0871,1.0845,1.1059,1.0796,,0.29
08/01/2015,1.0840,1.0596,1.0966,1.0587,,2.19
07/01/2015,1.0608,1.0422,1.0701,1.0326,,1.85
06/01/2015,1.0415,1.0330,1.0584,1.0259,,0.82
05/01/2015,1.0330,1.0466,1.0514,1.0276,,-1.26
04/01/2015,1.0462,1.0441,1.0532,1.0231,,0.26
03/01/2015,1.0435,1.0670,1.0766,1.0414,,-2.17
02/01/2015,1.0667,1.0394,1.0816,1.0390,,2.67
01/01/2015,1.0390,1.2029,1.2047,0.8699,,-13.60
12/01/2014,1.2026,1.2026,1.2099,1.1976,,0.05
11/01/2014,1.2020,1.2054,1.2082,1.1985,,-0.32
10/01/2014,1.2058,1.2066,1.2153,1.2036,,-0.04
09/01/2014,1.2063,1.2050,1.2128,1.2028,,0.04
08/01/2014,1.2058,1.2166,1.2182,1.2047,,-0.86
07/01/2014,1.2163,1.2142,1.2186,1.2114,,0.18
06/01/2014,1.2141,1.2212,1.2232,1.2135,,-0.46
05/01/2014,1.2197,1.2208,1.2242,1.2148,,-0.07
04/01/2014,1.2206,1.2184,1.2257,1.2138,,0.21
03/01/2014,1.2180,1.2131,1.2239,1.2099,,0.34
02/01/2014,1.2139,1.2230,1.2264,1.2113,,-0.64
01/01/2014,1.2217,1.2276,1.2407,1.2206,,-0.45
12/01/2013,1.2272,1.2316,1.2330,1.2164,,-0.33
11/01/2013,1.2313,1.2316,1.2431,1.2277,,0.00
10/01/2013,1.2313,1.2241,1.2383,1.2214,,0.62
09/01/2013,1.2237,1.2307,1.2423,1.2206,,-0.46
08/01/2013,1.2294,1.2322,1.2443,1.2269,,-0.19
07/01/2013,1.2317,1.2292,1.2471,1.2277,,0.23
06/01/2013,1.2289,1.2383,1.2496,1.2215,,-0.97
05/01/2013,1.2409,1.2236,1.2655,1.2193,,1.44
04/01/2013,1.2233,1.2170,1.2352,1.2125,,0.55
03/01/2013,1.2166,1.2230,1.2403,1.2155,,-0.56
02/01/2013,1.2235,1.2361,1.2419,1.2119,,-1.00
01/01/2013,1.2359,1.2076,1.2572,1.2067,,2.36
12/01/2012,1.2074,1.2049,1.2172,1.2040,,0.19
11/01/2012,1.2051,1.2070,1.2102,1.2015,,-0.12
10/01/2012,1.2066,1.2084,1.2168,1.2059,,-0.10
