Date,Price,Open,High,Low,Vol.,Change 
03/01/2008,17.355,19.920,21.440,16.725,738.36,-12.85
02/01/2008,19.915,17.335,20.055,16.320,84.15,16.87
01/01/2008,17.041,14.910,16.905,14.910,588.48,14.22
12/01/2007,14.920,14.255,15.080,13.790,23.91,5.84
11/01/2007,14.097,14.270,16.070,14.225,1.38,-2.74
10/01/2007,14.494,13.935,14.590,13.150,477.81,4.12
09/01/2007,13.920,12.400,14.000,12.400,43.01,14.45
08/01/2007,12.162,13.230,13.255,11.325,0.16,-6.96
07/01/2007,13.072,12.510,13.590,12.420,328.50,4.80
06/01/2007,12.473,13.685,13.900,12.220,45.69,-7.87
05/01/2007,13.538,13.515,13.705,12.760,344.85,-0.27
04/01/2007,13.575,13.505,14.215,13.270,40.38,0.48
03/01/2007,13.510,14.240,14.465,12.490,398.20,-5.09
02/01/2007,14.235,13.735,14.860,13.730,68.62,4.42
01/01/2007,13.632,12.965,13.600,12.095,304.13,5.39
12/01/2006,12.935,13.750,13.750,12.415,10.85,-7.95
11/01/2006,14.052,12.365,14.000,12.365,19.51,14.04
10/01/2006,12.322,11.540,12.280,10.650,193.31,6.78
09/01/2006,11.540,11.730,11.860,11.320,17.66,-11.24
08/01/2006,13.002,12.400,12.680,11.970,22.44,14.15
07/01/2006,11.390,10.990,11.820,10.465,220.07,4.30
06/01/2006,10.920,10.240,11.130,10.215,20.39,-12.67
05/01/2006,12.505,13.780,15.200,11.880,413.51,-8.25
04/01/2006,13.630,13.000,14.550,12.300,67.57,17.91
03/01/2006,11.560,9.800,11.800,9.670,420.48,17.90
02/01/2006,9.805,9.540,9.845,9.200,41.86,-1.11
01/01/2006,9.915,8.895,9.870,8.760,413.66,11.53
12/01/2005,8.890,8.370,9.030,8.370,23.24,6.47
11/01/2005,8.350,7.500,8.475,7.500,28.78,9.90
10/01/2005,7.598,7.480,7.955,7.360,345.32,1.14
09/01/2005,7.512,7.410,7.645,7.390,56.10,9.90
08/01/2005,6.835,6.800,6.825,6.705,32.96,-6.32
07/01/2005,7.296,6.955,7.300,6.850,240.74,3.12
06/01/2005,7.075,7.520,7.540,7.035,55.50,-5.31
05/01/2005,7.472,6.970,7.360,6.810,293.06,7.67
04/01/2005,6.940,7.210,7.210,6.900,67.84,-3.74
03/01/2005,7.210,7.390,7.680,6.830,299.87,-2.50
02/01/2005,7.395,6.635,7.495,6.635,41.94,9.36
01/01/2005,6.762,6.840,6.890,6.350,218.21,-1.10
12/01/2004,6.837,6.720,7.060,6.720,19.36,-11.87
11/01/2004,7.758,7.480,7.855,7.460,33.81,5.98
10/01/2004,7.320,6.955,7.530,6.720,305.07,5.51
09/01/2004,6.938,6.610,6.980,6.570,47.25,2.03
08/01/2004,6.800,6.580,6.865,6.580,20.27,3.42
07/01/2004,6.575,5.830,6.780,5.820,253.68,13.46
06/01/2004,5.795,5.945,6.015,5.810,39.87,-5.28
05/01/2004,6.118,6.165,6.220,5.455,240.66,0.64
04/01/2004,6.079,8.320,8.320,5.935,0.13,-23.53
03/01/2004,7.950,6.715,7.810,6.555,328.96,18.39
02/01/2004,6.715,6.480,6.790,6.310,53.24,7.34
01/01/2004,6.256,5.995,6.795,5.995,306.62,4.88
12/01/2003,5.965,5.935,6.050,5.920,9.72,11.02
11/01/2003,5.373,4.970,5.410,4.970,0.02,6.02
10/01/2003,5.068,5.155,5.220,4.745,307.38,-1.44
09/01/2003,5.142,5.275,5.275,5.070,34.45,0.39
08/01/2003,5.122,5.150,5.165,5.090,16.24,-0.02
07/01/2003,5.123,4.690,5.230,4.630,275.26,12.25
06/01/2003,4.564,4.620,4.620,4.620,0.00,0.55
05/01/2003,4.539,4.660,4.910,4.560,203.36,-2.43
